EntityID,entity_Labels,entity_text,
1,"['__Entity__', 'Bridge']",pont de Carouge,
2,"['__Entity__', 'Landmark']",écoquartier des Vergers,
3,"['__Entity__', 'Landmark']",les Ponts de l'Île,
4,"['__Entity__', 'Landmark']",Les Avanchets,
5,"['__Entity__', 'Landmark']",place Neuve,
6,"['__Entity__', 'Street']",avenue des Communes-Réunies,
7,"['__Entity__', 'Landmark']",quartier de Blandonnet,
8,"['__Entity__', 'Street']",rue du Conseil-Général,
10,"['__Entity__', 'Station']","Grand-Lancy, Pontets",
11,"['__Entity__', 'Station']","Plan-les-Ouates, Trèfle-Blanc",
14,"['__Entity__', 'Location']","46° 13′ 11″ N, 6° 06′ 21″ E 10",
15,"['__Entity__', 'Location']","46° 13′ 33″ N, 6° 04′ 59″ E 10",
16,"['__Entity__', 'Location']","46° 13′ 57″ N, 6° 03′ 32″ E 10",
17,"['__Entity__', 'Time']",1 h,
18,"['__Entity__', 'Location']",6° 08′ 04″ E 10,
19,"['__Entity__', 'Transportation']",Meyrin Tramway,
20,"['__Entity__', 'Transportation']",Genève Tramway,
21,"['__Entity__', 'Transportation']",Vernier Tramway,
22,"['__Entity__', 'Location']","46° 11′ 29″ N, 6° 08′ 38″ E 10",
23,"['__Entity__', 'Location']","46° 12′ 55″ N, 6° 07′ 24″ E 10",
24,"['__Entity__', 'Location']","46° 13′ 48″ N, 6° 04′ 04″ E 10",
25,"['__Entity__', 'Location']","46° 13′ 45″ N, 6° 04′ 17″ E 10",
26,"['__Entity__', 'Location']","46° 14′ 01″ N, 6° 03′ 19″ E 10",
27,"['__Entity__', 'Time']",5 h,
28,"['__Entity__', 'Location']","46° 13′ 06″ N, 6° 06′ 40″ E 10",
29,"['__Entity__', 'Location']","46° 13′ 38″ N, 6° 04′ 42″ E 10",
30,"['__Entity__', 'Location']","46° 13′ 20″ N, 6° 05′ 47″ E 10",
31,"['__Entity__', 'Location']","46° 12′ 48″ N, 6° 07′ 49″ E 10",
32,"['__Entity__', 'Time']",1 h 40,
33,"['__Entity__', 'Transportation']",TAD du Pays de Gex - Ligne « Express »,
35,"['__Entity__', 'Location', 'Infrastructure', 'Town']",Saint-Genis-Pouilly,
36,"['__Entity__', 'Tram Line']",Line 10,
37,"['__Entity__', 'Tramway Stop']","Genève, Augustins",
39,"['__Entity__', 'MonetaryValue']","17,72 millions d'euros",
40,"['__Entity__', 'Infrastructure']",route de l'Europe,
41,"['__Entity__', 'Event']",mise en service,
42,"['__Entity__', 'Infrastructure']",Porte-de-France,
43,"['__Entity__', 'Date']",21 septembre 2018,
44,"['__Entity__', 'MonetaryValue']",15 à 17 millions d'euros,
45,"['__Entity__', 'Event']",abandon,
46,"['__Entity__', 'Event']",non-financement,
47,"['__Entity__', 'MonetaryValue']",43 millions,
48,"['__Entity__', 'Infrastructure']",giratoire de la Porte-de-France,
49,"['__Entity__', 'Event']",première tranche des travaux,
50,"['__Entity__', 'MonetaryValue']","28,6 millions de francs suisses",
51,"['__Entity__', 'MonetaryValue']",26 millions d'euros,
52,"['__Entity__', 'Infrastructure']",terminus actuel du CERN,
53,"['__Entity__', 'Infrastructure']",Bois de Serves,
54,"['__Entity__', 'Plan']",projet,
55,"['__Entity__', 'Money', 'MonetaryValue']",coût,
56,"['__Entity__', 'Event']",problèmes de financement,
57,"['__Entity__', 'Infrastructure']",mairie de Saint-Genis,
58,"['__Entity__', 'Distance']",2 km,
59,"['__Entity__', 'Infrastructure']",bus à haut niveau de service,
60,"['__Entity__', 'Event']",chantier,
61,"['__Entity__', 'MonetaryValue']","21,7 millions de francs",
64,"['__Entity__', 'Company']",gestion des parc relais,
66,"['__Entity__', 'Department']",Mobilités,
67,"['__Entity__', 'Legal Outcome']",Gain de cause,
68,"['__Entity__', 'Tram', 'Vehicle']",Tram 15,
69,"['__Entity__', 'Person']",Benoît Pavageau,
70,"['__Entity__', 'Legal Document']",Huit procédures d'opposition,
71,"['__Entity__', 'Location']",France voisine,
72,"['__Entity__', 'Person']",Maudet,
73,"['__Entity__', 'Location']",Saint-Julien-en-Genevois (F),
74,"['__Entity__', 'Person']",Pierre Maudet,
75,"['__Entity__', 'Concern']",Craintes des frontaliers,
76,"['__Entity__', 'Project', 'Work']",Travaux,
77,"['__Entity__', 'Organization']",Office cantonal des transports,
78,"['__Entity__', 'Court']",Tribunal fédéral,
79,"['__Entity__', 'Location']",Zone industrielle de Plan-les-Ouates (Ziplo),
80,"['__Entity__', 'People']",Commerçants,
81,"['__Entity__', 'People']",17 riverains,
82,"['__Entity__', 'Date']",2025/2026,
83,"['__Entity__', 'Building']",Salle L’Arande,
84,"['__Entity__', 'Legal Action']",Recours,
85,"['__Entity__', 'Project', 'Infrastructure']",Extension du tram 15,
86,"['__Entity__', 'Department']",Transports collectifs,
88,"['__Entity__', 'Action']",mesures provisoires,
89,"['__Entity__', 'Event', 'Action']",recours,
90,"['__Entity__', 'Action']",remise en service d’espaces publics actuellement en travaux,
91,"['__Entity__', 'Statement']",Recours au Tribunal fédéral n'est pas exclu,
92,"['__Entity__', 'Organization']",autorités locales françaises,
93,"['__Entity__', 'Organization']",gouvernement,
94,"['__Entity__', 'Money']",environ 600’000 euros,
95,"['__Entity__', 'Event']",mise en service à l’horizon 2029,
97,"['__Entity__', 'Location']",Centre-ville de Genève,
98,"['__Entity__', 'Location']",Campagne genevoise,
99,"['__Entity__', 'Location']",Lancy et Plan-les-Ouates,
100,"['__Entity__', 'Event']",Inauguration officielle de la ligne 15,
101,"['__Entity__', 'Event']",Suppression d’une piste cyclable,
102,"['__Entity__', 'Location']",La Chapelle-Les Sciers,
103,"['__Entity__', 'Organization']",Lancyclopède,
104,"['__Entity__', 'Person']",Damien Bonfanti,
105,"['__Entity__', 'Person']",Bruno Strasser,
107,"['__Entity__', 'Title']",ministre des mobilités,
108,"['__Entity__', 'Person']","l’ensemble des représentants des autorités communales de Lancy, Confignon Plan-Les-Ouates",
109,"['__Entity__', 'Location']",Plan-Les-Ouates,
110,"['__Entity__', 'Tram']",réseau de six lignes de trams,
111,"['__Entity__', 'Organization']",Conseil d’État,
112,"['__Entity__', 'Location']",Ferney,
113,"['__Entity__', 'Person']",Maire,
114,"['__Entity__', 'Location', 'Facility']",zone industrielle,
115,"['__Entity__', 'Event']",Week-end de l’Escalade,
